,name,year,idbm_year,length,director,writers,star,rating,genre
9097,Darling Companion,2012,2012,1h 43m,Lawrence Kasdan,"Meg Kasdan,Lawrence Kasdan","Diane Keaton,Kevin Kline,Dianne Wiest",5.1,"Comedy,Drama,Romance"
9098,Fightville,2012,2011,,,,,6.6,"Documentary,Sport"
9099,Jesus Henry Christ,2012,2011,1h 32m,Dennis Lee,Dennis Lee,"Jason Spevack,Toni Collette,Michael Sheen",6.4,Comedy
9100,Marley,2012,2012,2h 24m,,,,7.9,"Documentary,Biography,Music"
9101,Payback,2012,1999,1h 40m,Brian Helgeland,"Donald E. Westlake,Brian Helgeland,Terry Hayes","Mel Gibson,Gregg Henry,Maria Bello",7.1,"Action,Crime,Drama"
9102,The Five-Year Engagement,2012,2012,2h 4m,Nicholas Stoller,"Jason Segel,Nicholas Stoller","Jason Segel,Emily Blunt,Chris Pratt",6.2,"Comedy,Romance"
9103,The Pirates! In an Adventure with Scientists!,2012,2012,1h 28m,"Peter Lord,Jeff Newitt",Gideon Defoe,"Hugh Grant,Salma Hayek,Jeremy Piven",6.7,"Animation,Adventure,Comedy"
9104,The Raven,2012,,TV-MATV-MA,,,,8.1,"Comedy,Crime,Drama"
9105,Safe,2012,,TV-MATV-MA,,,,7.2,"Crime,Drama,Mystery"
9106,Headhunters,2012,2011,1h 36m,Morten Tyldum,"Ulf Ryberg,Lars Gudmestad,Jo Nesbø","Aksel Hennie,Synnøve Macody Lund,Nikolaj Coster-Waldau",7.5,"Action,Crime,Thriller"
9107,Sound of My Voice,2012,2011,1h 27m,Zal Batmanglij,"Zal Batmanglij,Brit Marling","Christopher Denham,Nicole Vicius,Brit Marling",6.6,"Drama,Mystery,Sci-Fi"
9108,The Avengers,2012,2012,2h 23m,Joss Whedon,"Joss Whedon,Zak Penn","Robert Downey Jr.,Chris Evans,Scarlett Johansson",8.0,"Action,Adventure,Sci-Fi"
9109,The Best Exotic Marigold Hotel,2012,2011,2h 4m,John Madden,"Ol Parker,Deborah Moggach","Judi Dench,Bill Nighy,Maggie Smith",7.3,"Comedy,Drama,Romance"
9110,First Position,2012,2011,1h 35m,,,,7.6,Documentary
9111,Dark Shadows,2012,2012,1h 53m,Tim Burton,"Seth Grahame-Smith,John August,Dan Curtis","Johnny Depp,Michelle Pfeiffer,Eva Green",6.2,"Comedy,Fantasy,Horror"
9112,Under African Skies,2012,2012,1h 48m,,,,7.8,"Documentary,Biography,History"
9113,Where Do We Go Now?,2012,2011,1h 50m,Nadine Labaki,"Thomas Bidegain,Rodney El Haddad,Bassam Habib","Claude Baz Moussawbaa,Nadine Labaki,Yvonne Maalouf",7.5,"Comedy,Drama"
9114,The Dictator,2012,2012,1h 23m,Larry Charles,"Sacha Baron Cohen,Alec Berg,David Mandel","Sacha Baron Cohen,Anna Faris,John C. Reilly",6.4,Comedy
9115,Rust and Bone,2012,2012,2h,Jacques Audiard,"Jacques Audiard,Thomas Bidegain,Craig Davidson","Marion Cotillard,Matthias Schoenaerts,Armand Verdure",7.5,"Drama,Romance"
9116,Battleship,2012,2012,2h 11m,Peter Berg,"Jon Hoeber,Erich Hoeber","Alexander Skarsgård,Brooklyn Decker,Liam Neeson",5.8,"Action,Adventure,Sci-Fi"
9117,What to Expect When You're Expecting,2012,2012,1h 50m,Kirk Jones,"Shauna Cross,Heather Hach,Heidi Murkoff","Cameron Diaz,Matthew Morrison,J. Todd Smith",5.7,"Comedy,Drama,Romance"
9118,Beyond the Black Rainbow,2012,2010,1h 50m,Panos Cosmatos,Panos Cosmatos,"Eva Bourne,Michael J Rogers,Scott Hylands",6.0,"Horror,Sci-Fi,Thriller"
9119,Crooked Arrows,2012,2012,1h 45m,Steve Rash,"Brad Riddell,Todd Baird","Brandon Routh,Gil Birmingham,Crystal Allen",6.0,"Drama,Sport"
9120,Entrance,2012,2001,1h 24m,Stephen Carpenter,Stephen Carpenter,"Melissa Sagemiller,Wes Bentley,Casey Affleck",3.9,"Horror,Mystery,Thriller"
9121,Fury,2012,2014,2h 14m,David Ayer,David Ayer,"Brad Pitt,Shia LaBeouf,Logan Lerman",7.6,"Action,Drama,War"
9122,Hysteria,2012,2011,1h 40m,Tanya Wexler,"Stephen Dyer,Jonah Lisa Dyer,Howard Gensler","Maggie Gyllenhaal,Hugh Dancy,Jonathan Pryce",6.7,"Biography,Comedy,Romance"
9123,Lovely Molly,2012,2011,1h 40m,Eduardo Sánchez,"Jamie Nash,Eduardo Sánchez","Gretchen Lodge,Johnny Lewis,Alexandra Holden",5.3,"Drama,Horror"
9124,Mansome,2012,2012,1h 22m,Morgan Spurlock,"Jeremy Chilnick,Morgan Spurlock","Jason Bateman,Will Arnett,Morgan Spurlock",5.4,Documentary
9125,Polisse,2012,2011,2h 7m,Maïwenn,"Maïwenn,Emmanuelle Bercot","Karin Viard,JoeyStarr,Marina Foïs",7.3,"Crime,Drama"
9126,Virginia,2012,2011,1h 28m,Francis Ford Coppola,Francis Ford Coppola,"Val Kilmer,Bruce Dern,Elle Fanning",4.8,"Comedy,Fantasy,Horror"
9127,Chernobyl Diaries,2012,2012,1h 26m,Bradley Parker,"Oren Peli,Carey Van Dyke,Shane Van Dyke","Jesse McCartney,Jonathan Sadowski,Olivia Taylor Dudley",5.0,"Horror,Mystery,Thriller"
9128,Men in Black 3,2012,2012,1h 46m,Barry Sonnenfeld,"Etan Cohen,Lowell Cunningham","Will Smith,Tommy Lee Jones,Josh Brolin",6.8,"Action,Adventure,Comedy"
9129,Moonrise Kingdom,2012,2012,1h 34m,Wes Anderson,"Wes Anderson,Roman Coppola","Jared Gilman,Kara Hayward,Bruce Willis",7.8,"Comedy,Drama,Romance"
9130,5 Broken Cameras,2012,2011,1h 34m,"Emad Burnat,Guy Davidi",Guy Davidi,"Emad Burnat,Soraya Burnat,Mohammed Burnat",7.9,"Documentary,War"
9131,Snow White and the Huntsman,2012,2012,2h 7m,Rupert Sanders,"Evan Daugherty,John Lee Hancock,Hossein Amini","Kristen Stewart,Chris Hemsworth,Charlize Theron",6.1,"Action,Adventure,Drama"
9132,Piranha 3DD,2012,2012,1h 23m,John Gulager,"Patrick Melton,Marcus Dunstan,Joel Soisson","Danielle Panabaker,Ving Rhames,David Hasselhoff",3.7,"Comedy,Horror,Sci-Fi"
9133,Madagascar 3: Europe's Most Wanted,2012,2012,1h 35m,"Eric Darnell,Tom McGrath,Conrad Vernon","Eric Darnell,Noah Baumbach,Mark Burton","Ben Stiller,Jada Pinkett Smith,Chris Rock",6.8,"Animation,Adventure,Comedy"
9134,Prometheus,2012,2012,2h 4m,Ridley Scott,"Jon Spaihts,Damon Lindelof,Dan O'Bannon","Noomi Rapace,Logan Marshall-Green,Michael Fassbender",7.0,"Adventure,Mystery,Sci-Fi"
9135,Lola Versus,2012,2012,1h 27m,Daryl Wein,"Zoe Lister-Jones,Daryl Wein","Greta Gerwig,Zoe Lister-Jones,Hamish Linklater",5.5,Comedy
9136,Safety Not Guaranteed,2012,2012,1h 26m,Colin Trevorrow,Derek Connolly,"Aubrey Plaza,Mark Duplass,Jake Johnson",7.0,"Comedy,Drama,Romance"
9137,Rock of Ages,2012,2012,2h 3m,Adam Shankman,"Justin Theroux,Chris D'Arienzo,Allan Loeb","Julianne Hough,Diego Boneta,Tom Cruise",5.9,"Comedy,Drama,Musical"
9138,That's My Boy,2012,2012,1h 56m,Sean Anders,David Caspe,"Adam Sandler,Andy Samberg,Leighton Meester",5.5,Comedy
